Date,Close,High,Low,Open,Volume
,DFS,DFS,DFS,DFS,DFS
2009-09-29,12.04671859741211,12.55212190084069,11.978828397423266,12.318278677978258,8835900
2009-09-30,12.242847442626953,12.393714904003316,11.64692327223631,12.159871633770821,11165600
2009-10-01,12.069351196289062,12.423887869719692,11.94111428227734,12.174957558847382,13056700
2009-10-02,11.563948631286621,11.941115907504422,11.526231759786944,11.888312719038566,10211900
2009-10-05,12.159871101379395,12.159871101379395,11.654466278919537,11.654466278919537,9578000
2009-10-06,12.56721305847168,12.627559762858453,12.197589314255328,12.295652169341738,9946200
2009-10-07,12.740704536437988,12.838768790915859,12.491774300977902,12.537035390173077,5626200
2009-10-08,12.88403034210205,13.0952444731714,12.604926006002502,12.725620822883958,10264600
2009-10-09,12.220220565795898,12.95192457811791,11.858139599408636,12.93683754146492,13831200
2009-10-12,12.318284034729004,12.604930551394714,12.159874458387735,12.378630745541736,9311100
2009-10-13,12.23530387878418,12.469148586899125,12.0391774746475,12.265477946455297,7342900
2009-10-14,12.26547622680664,12.45405980697505,11.895852582329987,12.446516291114888,9802300
2009-10-15,12.144784927368164,12.212675142940348,11.948657797801713,12.129697893067949,9106700
2009-10-16,11.375365257263184,11.993919374415821,11.330105585924432,11.926029867407694,15116000
2009-10-19,11.782705307006836,11.895855918474068,11.382908206357348,11.48097178187316,13228300
2009-10-20,11.382908821105957,11.86568248739265,11.2999315576708,11.797792980113215,7999000
2009-10-21,11.216952323913574,11.609206553102428,11.194322493580167,11.382906091600345,9329300
2009-10-22,11.631837844848633,11.646924160503223,11.171694066847538,11.254670601421347,7341800
2009-10-23,11.337648391723633,11.956203228638717,11.262215366317067,11.729902713640003,7158700
2009-10-26,11.360278129577637,11.752531703887156,11.284844390208,11.458340983612926,8762100
2009-10-27,11.216952323913574,11.390449608174594,11.096258936282952,11.330102914359284,7789100
2009-10-28,10.764355659484863,11.239585849682872,10.726638783602121,11.11134890331529,7042500
2009-10-29,11.277299880981445,11.277299880981445,10.832242440483357,10.900132656069763,7465200
2009-10-30,10.666287422180176,11.262211499410832,10.48524664070827,11.239580952108557,8692900
2009-11-02,10.74172592163086,10.937853115668775,10.44753584996361,10.749269441260692,9230100
2009-11-03,10.704008102416992,10.794528891242585,10.485251088099195,10.598401714436406,5800700
2009-11-04,10.522965431213379,10.900132656127044,10.47016224993007,10.786982776408701,7240000
2009-11-05,10.960479736328125,10.975566771157077,10.545595630594327,10.598399533106246,5773500
2009-11-06,10.960479736328125,11.043456989108533,10.688919583911716,10.900133035791145,5549300
2009-11-09,11.601667404174805,11.66201412070867,11.028372877713462,11.073633274808666,9393600
2009-11-10,11.616750717163086,11.654467585082914,11.352734080503128,11.556404016247129,7322900
2009-11-11,11.616750717163086,11.933571256666573,11.5488612181747,11.722357803460723,7229000
2009-11-12,11.616750717163086,11.78270450437668,11.50360083279302,11.594120884166957,5525700
2009-11-13,11.616750717163086,11.843051205292637,11.5488612181747,11.616750717163086,3444000
2009-11-16,12.15233039855957,12.303196449483973,11.639382660102775,11.692185849865266,7440700
2009-11-17,12.009007453918457,12.137244399496158,11.752533562763055,12.129700880488159,4398800
2009-11-18,12.061803817749023,12.13723752633272,11.918480634706992,12.009000653373933,4381300
2009-11-19,11.631837844848633,11.98637525509932,11.473427573833597,11.971288220055305,5437600
2009-11-20,11.579033851623535,11.601663683218355,11.375363209102023,11.458339737875948,4235500
2009-11-23,11.67709732055664,11.843051106384253,11.51868777151729,11.835507588985404,4401600
2009-11-24,11.571493148803711,11.714816409612808,11.503602918119041,11.662013216586754,4010400
2009-11-25,11.843050956726074,11.858137991333122,11.571490808303876,11.692184207602631,3596200
2009-11-27,11.413081169128418,11.579034961979563,11.315017596961352,11.360277983880554,2751000
2009-11-30,11.66201400756836,11.692187365542562,11.382910266459579,11.473430340382189,6783700
2009-12-01,11.654462814331055,11.812873019237614,11.413076109478821,11.767613371772383,5134600
2009-12-02,11.518685340881348,11.64692151265473,11.443251621589464,11.59411834078397,6547700
2009-12-03,11.186779975891113,11.60920758970685,11.171693660784872,11.579034240104969,6033700
